ID,Treatment,Weight,Weight_gain_percent,Food_Intake_weekly,Calories_weekly,Date,Week
25,HFD+LXN,35.2,28.5,18.5,94.76,3/26/19,7
26,HFD+LXN,38.8,48.7,21.2,108.59,3/26/19,7
27,HFD+LXN,39.7,53.9,20.2,103.46,3/26/19,7
28,HFD+LXN,40.5,55.2,18.4,94.24,3/26/19,7
29,HFD+LXN,36.4,39.5,20.1,102.95,3/26/19,7
30,HFD+LXN,38.7,52.4,18.9,96.81,3/26/19,7
31,HFD+LXN,40.8,50,22.5,115.24,3/26/19,7
32,HFD+LXN,35.5,40.9,16.5,84.51,3/26/19,7
33,HFD+LXN,42.7,47.2,19.7,100.9,3/26/19,7
34,HFD+LXN,35.5,34,19.5,99.88,3/26/19,7
35,HFD+LXN,34.9,37.4,20.9,107.05,3/26/19,7
36,HFD+LXN,28.3,19.9,15.1,77.34,3/26/19,7
37,HFD+HXN,34.3,23.4,17.9,91.68,3/26/19,7
38,HFD+HXN,32,34.5,17.7,90.66,3/26/19,7
39,HFD+HXN,35.5,43.1,13.8,70.68,3/26/19,7
40,HFD+HXN,32.4,29.1,16.8,86.05,3/26/19,7
41,HFD+HXN,37.3,48.6,16.8,86.05,3/26/19,7
42,HFD+HXN,39.7,48.1,15.3,78.37,3/26/19,7
43,HFD+HXN,32.3,28.7,17.3,88.61,3/26/19,7
44,HFD+HXN,33.2,34.4,15.9,81.44,3/26/19,7
45,HFD+HXN,35.1,38.2,15.4,78.88,3/26/19,7
46,HFD+HXN,31,30.8,18.1,92.71,3/26/19,7
47,HFD+HXN,40.8,49.5,15.1,77.34,3/26/19,7
48,HFD+HXN,34.7,46.4,13.9,71.2,3/26/19,7
49,HFD+TXN,31,19.2,16.6,85.03,3/26/19,7
51,HFD+TXN,33.5,34,16,81.95,3/26/19,7
52,HFD+TXN,29.9,22,14.7,75.29,3/26/19,7
53,HFD+TXN,35.5,34,17.2,88.1,3/26/19,7
54,HFD+TXN,25.6,16.9,14.1,72.22,3/26/19,7
55,HFD+TXN,30.9,29.3,15.6,79.9,3/26/19,7
56,HFD+TXN,30.6,11.3,14.4,73.76,3/26/19,7
57,HFD+TXN,37.9,41.4,20.4,104.49,3/26/19,7
58,HFD+TXN,32.2,28.3,16.9,86.56,3/26/19,7
59,HFD+TXN,28.5,9.2,12.5,64.02,3/26/19,7
60,HFD+TXN,31.3,19.9,22.4,114.73,3/26/19,7
1,LFD,34.1,26.3,24.3,86.17,4/2/19,8
2,LFD,28.3,1.1,19.1,67.73,4/2/19,8
3,LFD,30.4,31.6,21.2,75.17,4/2/19,8
4,LFD,31.8,22.8,29.2,103.54,4/2/19,8
5,LFD,28.4,10.5,23.6,83.68,4/2/19,8
6,LFD,32.6,24,25.1,89,4/2/19,8
7,LFD,30.7,19.9,21,74.47,4/2/19,8
8,LFD,33.6,29.2,28.1,99.64,4/2/19,8
9,LFD,34.2,30.5,25.8,91.49,4/2/19,8
10,LFD,27.6,16.5,21.6,76.59,4/2/19,8
11,LFD,31.5,22.6,20.9,74.11,4/2/19,8
12,LFD,33.3,28.6,22.2,78.72,4/2/19,8
13,HFD,37.4,53.9,20.8,106.54,4/2/19,8
14,HFD,43.3,81.9,23.9,122.42,4/2/19,8
15,HFD,45,77.2,19.9,101.93,4/2/19,8
16,HFD,41.5,50.9,19.5,99.88,4/2/19,8
17,HFD,34.5,40.8,19.8,101.42,4/2/19,8
18,HFD,40.5,59.4,21,107.56,4/2/19,8
19,HFD,37.1,42.1,21,107.56,4/2/19,8
20,HFD,42.6,62.6,22.5,115.24,4/2/19,8
21,HFD,44,69.2,18.8,96.29,4/2/19,8
22,HFD,41.8,63.3,20.6,105.51,4/2/19,8
23,HFD,35.2,45.5,19.7,100.9,4/2/19,8
24,HFD,41.5,62.7,21.5,110.12,4/2/19,8
25,HFD+LXN,37.9,38.3,20.4,104.49,4/2/19,8
26,HFD+LXN,41.6,59.4,20.8,106.54,4/2/19,8
27,HFD+LXN,43.1,67.1,22.1,113.2,4/2/19,8
28,HFD+LXN,43.4,66.3,19.3,98.85,4/2/19,8
29,HFD+LXN,39.5,51.3,20.8,106.54,4/2/19,8
30,HFD+LXN,41.8,64.6,20.2,103.46,4/2/19,8
31,HFD+LXN,43.5,59.9,21.4,109.61,4/2/19,8
32,HFD+LXN,37.9,50.4,19.2,98.34,4/2/19,8
33,HFD+LXN,44.4,53.1,19.8,101.42,4/2/19,8
34,HFD+LXN,38,43.4,19.5,99.88,4/2/19,8
35,HFD+LXN,36.2,42.5,24,122.93,4/2/19,8
36,HFD+LXN,30.2,28,16.8,86.05,4/2/19,8
37,HFD+HXN,36.7,32,19,97.32,4/2/19,8
38,HFD+HXN,34.5,45,18.9,96.81,4/2/19,8
39,HFD+HXN,37.9,52.8,17.6,90.15,4/2/19,8
40,HFD+HXN,34.2,36.3,18.2,93.22,4/2/19,8
41,HFD+HXN,39.4,57,21.3,109.1,4/2/19,8
42,HFD+HXN,43.8,63.4,18,92.2,4/2/19,8
43,HFD+HXN,34.2,36.3,16.6,85.03,4/2/19,8
44,HFD+HXN,34.9,41.3,19.1,97.83,4/2/19,8
45,HFD+HXN,37.1,46.1,16.2,82.98,4/2/19,8
46,HFD+HXN,33.5,41.4,20.4,104.49,4/2/19,8
47,HFD+HXN,44.4,62.6,19,97.32,4/2/19,8
48,HFD+HXN,36.6,54.4,12.5,64.02,4/2/19,8
49,HFD+TXN,32.1,23.5,18.5,94.76,4/2/19,8
51,HFD+TXN,34.8,39.2,16.7,85.54,4/2/19,8
52,HFD+TXN,32.6,33.1,17,87.07,4/2/19,8
53,HFD+TXN,37.9,43,18.1,92.71,4/2/19,8
54,HFD+TXN,28.3,29.2,16.9,86.56,4/2/19,8
55,HFD+TXN,32.8,37.2,16.6,85.03,4/2/19,8
56,HFD+TXN,32.3,17.5,16.1,82.46,4/2/19,8
57,HFD+TXN,40,49.3,20.9,107.05,4/2/19,8
58,HFD+TXN,34.9,39,17.7,90.66,4/2/19,8
59,HFD+TXN,30,14.9,17.1,87.59,4/2/19,8
60,HFD+TXN,33.2,27.2,22.9,117.29,4/2/19,8
1,LFD,35,29.63,23,81.56,4/9/19,9
2,LFD,29.3,4.64,18,63.83,4/9/19,9
3,LFD,31.4,35.93,21.6,76.59,4/9/19,9
4,LFD,35.5,37.07,34,120.56,4/9/19,9
5,LFD,28.5,10.89,22.5,79.78,4/9/19,9
6,LFD,34,29.28,24.9,88.29,4/9/19,9
7,LFD,31.2,21.88,20.2,71.63,4/9/19,9
8,LFD,35.7,37.31,29.6,104.96,4/9/19,9
9,LFD,33.8,29.01,23.7,84.04,4/9/19,9
10,LFD,28.2,18.99,21.8,77.3,4/9/19,9
11,LFD,31.2,21.4,21,74.47,4/9/19,9
12,LFD,35,35.14,22.5,79.78,4/9/19,9
13,HFD,36.9,51.85,12.8,65.56,4/9/19,9
14,HFD,45.3,90.34,18.2,93.22,4/9/19,9
15,HFD,45.6,79.53,18.7,95.78,4/9/19,9
16,HFD,43.5,58.18,20.3,103.98,4/9/19,9
17,HFD,36.1,47.35,18.7,95.78,4/9/19,9
18,HFD,42,65.35,20.8,106.54,4/9/19,9
19,HFD,37.9,45.21,20.1,102.95,4/9/19,9
20,HFD,44.1,68.32,20.5,105,4/9/19,9
21,HFD,44.2,70,16.5,84.51,4/9/19,9
22,HFD,42.3,65.23,18.2,93.22,4/9/19,9
23,HFD,37.2,53.72,19.1,97.83,4/9/19,9
24,HFD,42.4,66.27,20.2,103.46,4/9/19,9
25,HFD+LXN,40.4,47.45,15.6,79.9,4/9/19,9
26,HFD+LXN,43.1,65.13,15.4,78.88,4/9/19,9
27,HFD+LXN,45,74.42,20.3,103.98,4/9/19,9
28,HFD+LXN,44,68.58,18.2,93.22,4/9/19,9
29,HFD+LXN,41,57.09,19.4,99.37,4/9/19,9
30,HFD+LXN,42.8,68.5,18.5,94.76,4/9/19,9
31,HFD+LXN,44.3,62.87,19.7,100.9,4/9/19,9
32,HFD+LXN,39.1,55.16,16.8,86.05,4/9/19,9
33,HFD+LXN,45.5,56.9,19.8,101.42,4/9/19,9
34,HFD+LXN,39.4,48.68,19.5,99.88,4/9/19,9
35,HFD+LXN,37.5,47.64,22,112.68,4/9/19,9
36,HFD+LXN,31.3,32.63,14.4,73.76,4/9/19,9
37,HFD+HXN,37.5,34.89,13.5,69.15,4/9/19,9
38,HFD+HXN,34.1,43.28,12.9,66.07,4/9/19,9
39,HFD+HXN,39.6,59.68,17.7,90.66,4/9/19,9
40,HFD+HXN,36.4,45.02,18.3,93.73,4/9/19,9
41,HFD+HXN,40,59.36,17.6,90.15,4/9/19,9
42,HFD+HXN,45.4,69.4,12.5,64.02,4/9/19,9
43,HFD+HXN,34.1,35.86,17.9,91.68,4/9/19,9
44,HFD+HXN,35.4,43.32,19.9,101.93,4/9/19,9
45,HFD+HXN,38,49.61,13,66.59,4/9/19,9
46,HFD+HXN,34,43.46,17.4,89.12,4/9/19,9
47,HFD+HXN,46.2,69.23,17.8,91.17,4/9/19,9
48,HFD+HXN,37.9,59.92,14.2,72.73,4/9/19,9
49,HFD+TXN,33,26.92,15.9,81.44,4/9/19,9
51,HFD+TXN,36.2,44.8,16.9,86.56,4/9/19,9
52,HFD+TXN,33.6,37.14,16.3,83.49,4/9/19,9
53,HFD+TXN,37.6,41.89,14.3,73.24,4/9/19,9
54,HFD+TXN,29.2,33.33,15.8,80.93,4/9/19,9
55,HFD+TXN,33.3,39.33,14.8,75.81,4/9/19,9
56,HFD+TXN,33,20,15.4,78.88,4/9/19,9
57,HFD+TXN,40.8,52.24,18.3,93.73,4/9/19,9
58,HFD+TXN,36,43.43,16.3,83.49,4/9/19,9
59,HFD+TXN,29.7,13.79,14.5,74.27,4/9/19,9
60,HFD+TXN,33.2,27.2,16.3,83.49,4/9/19,9
1,LFD,35.1,30,17.9,63.47,4/16/19,10
2,LFD,28.9,3.21,15.8,56.03,4/16/19,10
3,LFD,32.2,39.39,22,78.01,4/16/19,10
4,LFD,35.7,37.84,30.8,109.22,4/16/19,10
5,LFD,29.1,13.23,22.7,80.49,4/16/19,10
6,LFD,34.3,30.42,24.5,86.88,4/16/19,10
7,LFD,31.6,23.44,20.9,74.11,4/16/19,10
8,LFD,35.3,35.77,27.3,96.8,4/16/19,10
9,LFD,34.3,30.92,24.9,88.29,4/16/19,10
10,LFD,29.1,22.78,23.6,83.68,4/16/19,10
11,LFD,31.8,23.74,22,78.01,4/16/19,10
12,LFD,35,35.14,23.1,81.91,4/16/19,10
13,HFD,37.4,53.91,14.5,74.27,4/16/19,10
14,HFD,47.2,98.32,17,87.07,4/16/19,10
15,HFD,47.2,85.83,19,97.32,4/16/19,10
16,HFD,44.6,62.18,18.4,94.24,4/16/19,10
17,HFD,36.4,48.57,18.9,96.81,4/16/19,10
18,HFD,44.8,76.38,22.3,114.22,4/16/19,10
19,HFD,39.7,52.11,24.3,124.46,4/16/19,10
20,HFD,45,71.76,20.9,107.05,4/16/19,10
21,HFD,47,80.77,20.8,106.54,4/16/19,10
22,HFD,45.3,76.95,22,112.68,4/16/19,10
23,HFD,38.8,60.33,19.8,101.42,4/16/19,10
24,HFD,44.6,74.9,19.9,101.93,4/16/19,10
25,HFD+LXN,41,49.64,14.2,72.73,4/16/19,10
26,HFD+LXN,44.4,70.11,16.6,85.03,4/16/19,10
27,HFD+LXN,44.8,73.64,18.1,92.71,4/16/19,10
28,HFD+LXN,46.6,78.54,19.9,101.93,4/16/19,10
29,HFD+LXN,42.7,63.6,19.6,100.39,4/16/19,10
30,HFD+LXN,45.1,77.56,20.8,106.54,4/16/19,10
31,HFD+LXN,45.6,67.65,20.6,105.51,4/16/19,10
32,HFD+LXN,40.4,60.32,17.9,91.68,4/16/19,10
33,HFD+LXN,47.3,63.1,20.9,107.05,4/16/19,10
34,HFD+LXN,40.9,54.34,19.6,100.39,4/16/19,10
35,HFD+LXN,40.8,60.63,25.9,132.66,4/16/19,10
36,HFD+LXN,31.5,33.47,12.1,61.98,4/16/19,10
37,HFD+HXN,37.8,35.97,13.7,70.17,4/16/19,10
38,HFD+HXN,35.7,50,16.5,84.51,4/16/19,10
39,HFD+HXN,41.5,67.34,18.5,94.76,4/16/19,10
40,HFD+HXN,37,47.41,16.2,82.98,4/16/19,10
41,HFD+HXN,41.5,65.34,21.1,108.07,4/16/19,10
42,HFD+HXN,47.6,77.61,16.6,85.03,4/16/19,10
43,HFD+HXN,34.7,38.25,19.3,98.85,4/16/19,10
44,HFD+HXN,36.2,46.56,18.2,93.22,4/16/19,10
45,HFD+HXN,38.4,51.18,11,56.34,4/16/19,10
46,HFD+HXN,34.7,46.41,23.8,121.9,4/16/19,10
47,HFD+HXN,48.4,77.29,19.1,97.83,4/16/19,10
48,HFD+HXN,39.9,68.35,13.9,71.2,4/16/19,10
49,HFD+TXN,34,30.77,17.3,88.61,4/16/19,10
51,HFD+TXN,36.4,45.6,15.5,79.39,4/16/19,10
52,HFD+TXN,33.1,35.1,15.1,77.34,4/16/19,10
53,HFD+TXN,39,47.17,18.6,95.27,4/16/19,10
54,HFD+TXN,29.6,35.16,16.4,84,4/16/19,10
55,HFD+TXN,34.2,43.1,16.7,85.54,4/16/19,10
56,HFD+TXN,34,23.64,16.4,84,4/16/19,10
57,HFD+TXN,42.2,57.46,22.9,117.29,4/16/19,10
58,HFD+TXN,36.5,45.42,18.5,94.76,4/16/19,10
59,HFD+TXN,30.7,17.62,22.1,113.2,4/16/19,10
60,HFD+TXN,34.9,33.72,20.6,105.51,4/16/19,10
1,LFD,36.1,33.7,23.7,84,4/23/19,11
2,LFD,29.7,6.07,20.7,73.4,4/23/19,11
3,LFD,33.4,44.59,22,78,4/23/19,11
4,LFD,37.8,45.95,33.2,117.7,4/23/19,11
5,LFD,30,16.73,24.7,87.6,4/23/19,11
6,LFD,35.6,35.36,25.5,90.4,4/23/19,11
7,LFD,31.7,23.83,21.6,76.6,4/23/19,11
8,LFD,38.5,48.08,32.6,115.6,4/23/19,11
9,LFD,36.4,38.93,28.8,102.1,4/23/19,11
10,LFD,30.3,27.85,21.4,75.9,4/23/19,11
11,LFD,32.4,26.07,23.1,81.9,4/23/19,11
12,LFD,36.6,41.31,25.4,90.1,4/23/19,11
13,HFD,39.9,64.2,20.8,106.5,4/23/19,11
14,HFD,49.9,109.66,22.6,115.8,4/23/19,11
15,HFD,47.6,87.4,17.6,90.1,4/23/19,11
16,HFD,46.5,69.09,20.3,104,4/23/19,11
17,HFD,38,55.1,18.4,94.2,4/23/19,11
18,HFD,47,85.04,20.7,106,4/23/19,11
19,HFD,42.9,64.37,23.7,121.4,4/23/19,11
20,HFD,47.5,81.3,20.7,106,4/23/19,11
21,HFD,48.1,85,17.9,91.7,4/23/19,11
22,HFD,47.6,85.94,19.5,99.9,4/23/19,11
23,HFD,40.9,69.01,19.5,99.9,4/23/19,11
24,HFD,46.6,82.75,20,102.4,4/23/19,11
25,HFD+LXN,43,56.93,20.3,104,4/23/19,11
26,HFD+LXN,46.4,77.78,21.1,108.1,4/23/19,11
27,HFD+LXN,46.8,81.4,21,107.6,4/23/19,11
28,HFD+LXN,47.6,82.38,21.4,109.6,4/23/19,11
29,HFD+LXN,45,72.41,20,102.4,4/23/19,11
30,HFD+LXN,47.9,88.58,20.7,106,4/23/19,11
31,HFD+LXN,48,76.47,23.3,119.3,4/23/19,11
32,HFD+LXN,42.9,70.24,18.7,95.8,4/23/19,11
33,HFD+LXN,48.6,67.59,20.3,104,4/23/19,11
34,HFD+LXN,42.2,59.25,18.3,93.7,4/23/19,11
35,HFD+LXN,43.8,72.44,23.6,120.9,4/23/19,11
36,HFD+LXN,33.1,40.25,17.6,90.1,4/23/19,11
37,HFD+HXN,40.1,44.24,19.5,99.9,4/23/19,11
38,HFD+HXN,38.1,60.08,22.3,114.2,4/23/19,11
39,HFD+HXN,43.5,75.4,20.1,103,4/23/19,11
40,HFD+HXN,37,47.41,16.1,82.5,4/23/19,11
41,HFD+HXN,43.8,74.5,17.9,91.7,4/23/19,11
42,HFD+HXN,49.6,85.07,18.7,95.8,4/23/19,11
43,HFD+HXN,35.9,43.03,16.9,86.6,4/23/19,11
44,HFD+HXN,37.6,52.23,17.9,91.7,4/23/19,11
45,HFD+HXN,40.4,59.06,18.7,95.8,4/23/19,11
46,HFD+HXN,35.8,51.05,16.6,85,4/23/19,11
47,HFD+HXN,49.5,81.32,19.5,99.9,4/23/19,11
48,HFD+HXN,41.5,75.11,20.6,105.5,4/23/19,11
49,HFD+TXN,36,38.46,19.3,98.9,4/23/19,11
51,HFD+TXN,38.5,54,18.2,93.2,4/23/19,11
52,HFD+TXN,35.1,43.27,17.1,87.6,4/23/19,11
53,HFD+TXN,41,54.72,16.9,86.6,4/23/19,11
54,HFD+TXN,31.2,42.47,16,82,4/23/19,11
55,HFD+TXN,35.5,48.54,16.8,86,4/23/19,11
56,HFD+TXN,35.7,29.82,18.3,93.7,4/23/19,11
57,HFD+TXN,45.6,70.15,25.1,128.6,4/23/19,11
58,HFD+TXN,38.5,53.39,21.7,111.1,4/23/19,11
59,HFD+TXN,32.2,23.37,20.9,107,4/23/19,11
60,HFD+TXN,36,37.93,20.8,106.5,4/23/19,11
1,LFD,36.6,35.56,29.3,103.9,4/30/19,12
2,LFD,30.4,8.57,22.7,80.49,4/30/19,12
3,LFD,33.1,43.29,19.7,69.86,4/30/19,12
4,LFD,39.2,51.35,32.7,115.95,4/30/19,12
5,LFD,30.2,17.51,23.6,83.68,4/30/19,12
6,LFD,36.3,38.02,24.8,87.94,4/30/19,12
7,LFD,32.1,25.39,22.2,78.72,4/30/19,12
8,LFD,39.2,50.77,30,106.38,4/30/19,12
9,LFD,37.8,44.27,31.2,110.63,4/30/19,12
10,LFD,30.8,29.96,28.4,100.71,4/30/19,12
11,LFD,33.4,29.96,24.2,85.81,4/30/19,12
12,LFD,36.5,40.93,22.5,79.78,4/30/19,12
13,HFD,41.7,71.6,21,107.56,4/30/19,12
14,HFD,50.5,112.18,23.6,120.88,4/30/19,12
15,HFD,48.9,92.52,18.2,93.22,4/30/19,12
16,HFD,49.1,78.55,21.4,109.61,4/30/19,12
17,HFD,39.7,62.04,20.3,103.98,4/30/19,12
18,HFD,48.4,90.55,19.8,101.42,4/30/19,12
19,HFD,44.1,68.97,21.5,110.12,4/30/19,12
20,HFD,48.6,85.5,20.2,103.46,4/30/19,12
21,HFD,49.7,91.15,18.5,94.76,4/30/19,12
22,HFD,48.9,91.02,19,97.32,4/30/19,12
23,HFD,42.5,75.62,19.5,99.88,4/30/19,12
24,HFD,48.3,89.41,20.9,107.05,4/30/19,12
25,HFD+LXN,45.3,65.33,21.1,108.07,4/30/19,12
26,HFD+LXN,49.2,88.51,21.3,109.1,4/30/19,12
27,HFD+LXN,49,89.92,21.8,111.66,4/30/19,12
28,HFD+LXN,48.7,86.59,19.7,100.9,4/30/19,12
29,HFD+LXN,46.6,78.54,21,107.56,4/30/19,12
30,HFD+LXN,49.5,94.88,19.9,101.93,4/30/19,12
31,HFD+LXN,49,80.15,21.5,110.12,4/30/19,12
32,HFD+LXN,44.5,76.59,19.2,98.34,4/30/19,12
33,HFD+LXN,50.3,73.45,19.9,101.93,4/30/19,12
34,HFD+LXN,44.2,66.79,19.3,98.85,4/30/19,12
35,HFD+LXN,44.8,76.38,22.7,116.27,4/30/19,12
36,HFD+LXN,35,48.31,18.6,95.27,4/30/19,12
37,HFD+HXN,41.4,48.92,19.3,98.85,4/30/19,12
38,HFD+HXN,39.7,66.81,21.5,110.12,4/30/19,12
39,HFD+HXN,46.1,85.89,19.8,101.42,4/30/19,12
40,HFD+HXN,39.8,58.57,18.6,95.27,4/30/19,12
41,HFD+HXN,45.2,80.08,22.5,115.24,4/30/19,12
42,HFD+HXN,51,90.3,22.8,116.78,4/30/19,12
43,HFD+HXN,37.6,49.8,17.4,89.12,4/30/19,12
44,HFD+HXN,39.2,58.7,12.5,64.02,4/30/19,12
45,HFD+HXN,43,69.29,19.7,100.9,4/30/19,12
46,HFD+HXN,36.8,55.27,16.6,85.03,4/30/19,12
47,HFD+HXN,50.3,84.25,19.1,97.83,4/30/19,12
48,HFD+HXN,43.9,85.23,17.4,89.12,4/30/19,12
49,HFD+TXN,36.9,41.92,19.7,100.9,4/30/19,12
51,HFD+TXN,40.3,61.2,16.5,84.51,4/30/19,12
52,HFD+TXN,37.3,52.24,17,87.07,4/30/19,12
53,HFD+TXN,42.8,61.51,19.8,101.42,4/30/19,12
54,HFD+TXN,32.3,47.49,16.6,85.03,4/30/19,12
55,HFD+TXN,36.4,52.3,16,81.95,4/30/19,12
56,HFD+TXN,36,30.91,15.5,79.39,4/30/19,12
57,HFD+TXN,47.7,77.99,23.8,121.9,4/30/19,12
58,HFD+TXN,40.4,60.96,20.2,103.46,4/30/19,12
59,HFD+TXN,33.6,28.74,18.1,92.71,4/30/19,12
60,HFD+TXN,36.8,41,19.4,99.37,4/30/19,12
1,LFD,36.8,36.3,24,85.1,5/7/19,13
2,LFD,30.5,8.93,20.4,72.3,5/7/19,13
3,LFD,34,47.19,21.2,75.2,5/7/19,13
4,LFD,39.4,52.12,31,109.9,5/7/19,13
5,LFD,30.8,19.84,22.9,81.2,5/7/19,13
6,LFD,37.3,41.83,24.4,86.5,5/7/19,13
7,LFD,32,25,20.9,74.1,5/7/19,13
8,LFD,38.8,49.23,28.3,100.4,5/7/19,13
9,LFD,39.1,49.24,27.5,97.5,5/7/19,13
10,LFD,31.1,31.22,21.9,77.7,5/7/19,13
11,LFD,34.1,32.68,21.8,77.3,5/7/19,13
12,LFD,36.6,41.31,22.8,80.8,5/7/19,13
13,HFD,44,81.07,20.7,106,5/7/19,13
14,HFD,51.8,117.65,22.7,116.3,5/7/19,13
15,HFD,50.2,97.64,18.1,92.7,5/7/19,13
16,HFD,51,85.45,19.5,99.9,5/7/19,13
17,HFD,41,67.35,19.3,98.9,5/7/19,13
18,HFD,49.5,94.88,20.3,104,5/7/19,13
19,HFD,45.6,74.71,22.7,116.3,5/7/19,13
20,HFD,49.4,88.55,20.4,104.5,5/7/19,13
21,HFD,51,96.15,31.7,162.4,5/7/19,13
22,HFD,49.1,91.8,19,97.3,5/7/19,13
23,HFD,43.9,81.4,19.5,99.9,5/7/19,13
24,HFD,50,96.08,20,102.4,5/7/19,13
25,HFD+LXN,47.7,74.09,18.8,96.3,5/7/19,13
26,HFD+LXN,50.5,93.49,21.3,109.1,5/7/19,13
27,HFD+LXN,50.4,95.35,22.2,113.7,5/7/19,13
28,HFD+LXN,49.6,90.04,19.9,101.9,5/7/19,13
29,HFD+LXN,48.5,85.82,20.4,104.5,5/7/19,13
30,HFD+LXN,51.6,103.15,20.6,105.5,5/7/19,13
31,HFD+LXN,49,80.15,22.4,114.7,5/7/19,13
32,HFD+LXN,45.2,79.37,17.6,90.1,5/7/19,13
33,HFD+LXN,50.3,73.45,21.2,108.6,5/7/19,13
34,HFD+LXN,45.7,72.45,19.2,98.3,5/7/19,13
35,HFD+LXN,45.2,77.95,20.8,106.5,5/7/19,13
36,HFD+LXN,36.6,55.08,17.6,90.1,5/7/19,13
37,HFD+HXN,43.1,55.04,19.4,99.4,5/7/19,13
38,HFD+HXN,42,76.47,22.1,113.2,5/7/19,13
39,HFD+HXN,48.2,94.35,19.1,97.8,5/7/19,13
40,HFD+HXN,41.5,65.34,18,92.2,5/7/19,13
41,HFD+HXN,46.9,86.85,21,107.6,5/7/19,13
42,HFD+HXN,52.5,95.9,18.5,94.8,5/7/19,13
43,HFD+HXN,38.3,52.59,22.1,113.2,5/7/19,13
44,HFD+HXN,41.1,66.4,21.3,109.1,5/7/19,13
45,HFD+HXN,43.5,71.26,17,87.1,5/7/19,13
46,HFD+HXN,38.4,62.03,11.3,57.9,5/7/19,13
47,HFD+HXN,51.5,88.64,21.2,108.6,5/7/19,13
48,HFD+HXN,45.6,92.41,11.7,59.9,5/7/19,13
49,HFD+TXN,37.6,44.62,21.1,108.1,5/7/19,13
51,HFD+TXN,42.4,69.6,17.6,90.1,5/7/19,13
52,HFD+TXN,38.3,56.33,16.7,85.5,5/7/19,13
53,HFD+TXN,45.6,72.08,21.2,108.6,5/7/19,13
54,HFD+TXN,33.7,53.88,17.6,90.1,5/7/19,13
55,HFD+TXN,36.5,52.72,16.4,84,5/7/19,13
56,HFD+TXN,36.3,32,17.2,88.1,5/7/19,13
57,HFD+TXN,49,82.84,22.5,115.2,5/7/19,13
58,HFD+TXN,39.8,58.57,14.1,72.2,5/7/19,13
59,HFD+TXN,33.8,29.5,21,107.6,5/7/19,13
60,HFD+TXN,37.5,43.68,20.8,106.5,5/7/19,13
1,LFD,37.8,40,24.1,85.46,5/14/19,14
2,LFD,32,14.29,22.6,80.14,5/14/19,14
3,LFD,33.9,46.75,20.1,71.27,5/14/19,14
4,LFD,41,58.3,32,113.47,5/14/19,14
5,LFD,31.3,21.79,21.9,77.66,5/14/19,14
6,LFD,38.4,46.01,26.2,92.9,5/14/19,14
7,LFD,33.4,30.47,22.1,78.37,5/14/19,14
8,LFD,40.7,56.54,30.7,108.86,5/14/19,14
9,LFD,38.8,48.09,26,92.2,5/14/19,14
10,LFD,32.2,35.86,24,85.1,5/14/19,14
11,LFD,34.3,33.46,21.6,76.59,5/14/19,14
12,LFD,37.4,44.4,24.9,88.29,5/14/19,14
13,HFD,46.5,91.36,21,107.56,5/14/19,14
14,HFD,51.6,116.81,21.7,111.15,5/14/19,14
15,HFD,50.3,98.03,18.1,92.71,5/14/19,14
16,HFD,52.2,89.82,20.1,102.95,5/14/19,14
17,HFD,43,75.51,21.1,108.07,5/14/19,14
18,HFD,50.3,98.03,20.6,105.51,5/14/19,14
19,HFD,46.2,77.01,23.2,118.83,5/14/19,14
20,HFD,49.7,89.69,20.4,104.49,5/14/19,14
21,HFD,51.4,97.69,18.7,95.78,5/14/19,14
22,HFD,49.3,92.58,18.3,93.73,5/14/19,14
23,HFD,46.1,90.5,21.2,108.59,5/14/19,14
24,HFD,50.4,97.65,21.8,111.66,5/14/19,14
25,HFD+LXN,50.3,83.58,20.5,105,5/14/19,14
26,HFD+LXN,51.7,98.08,18.6,95.27,5/14/19,14
27,HFD+LXN,50.9,97.29,20.7,106.03,5/14/19,14
28,HFD+LXN,50.1,91.95,21.6,110.64,5/14/19,14
29,HFD+LXN,50.5,93.49,18.7,95.78,5/14/19,14
30,HFD+LXN,52.3,105.91,18.8,96.29,5/14/19,14
31,HFD+LXN,49.6,82.35,21.1,108.07,5/14/19,14
32,HFD+LXN,46.6,84.92,17.2,88.1,5/14/19,14
33,HFD+LXN,50.7,74.83,19.8,101.42,5/14/19,14
34,HFD+LXN,48.5,83.02,20.6,105.51,5/14/19,14
35,HFD+LXN,46.3,82.28,20.4,104.49,5/14/19,14
36,HFD+LXN,37.7,59.75,17.8,91.17,5/14/19,14
37,HFD+HXN,45.1,62.23,19.7,100.9,5/14/19,14
38,HFD+HXN,43.5,82.77,22.6,115.76,5/14/19,14
39,HFD+HXN,50.5,103.63,18.8,96.29,5/14/19,14
40,HFD+HXN,44.2,76.1,18.9,96.81,5/14/19,14
41,HFD+HXN,48.1,91.63,21.8,111.66,5/14/19,14
42,HFD+HXN,53.5,99.63,16.8,86.05,5/14/19,14
43,HFD+HXN,39.4,56.97,18.7,95.78,5/14/19,14
44,HFD+HXN,41.7,68.83,16.3,83.49,5/14/19,14
45,HFD+HXN,44.5,75.2,16.8,86.05,5/14/19,14
46,HFD+HXN,38.4,62.03,26.1,133.68,5/14/19,14
47,HFD+HXN,51.7,89.38,20.8,106.54,5/14/19,14
48,HFD+HXN,46.7,97.05,12.5,64.02,5/14/19,14
49,HFD+TXN,38.2,46.92,19.3,98.85,5/14/19,14
