ID,Treatment,food_cum,Cal_cum,BMD,BMC,Bone_Area,Fat_percent   ,TTM,TAM,Fat_mass,Lean_mass,wt,wt_gained,liver_wt,lv_pct,bat_wt,subq_wt,epi_wat,mesenteric_wt,epiWatpct,epi2wt,fecal_fat,fecal_tot_output,CHL_plasma_baseline,CHL_plasma_mid,CHL_plasma_end,glucose_plasma,insulin_plasma,wt_gain_pct,TG_feces2,total_CHL,LDL,HDL,total_TAG,CHL_feces2,HOMA,leptin,leptin_new,LV_TC,LV_TAG,TG_feces,CHL_feces,ketone,lipidosis_area_pct
15,HFD,324.76,1663.419,0.054,0.522,9.64,48.79,42.86,43.382,20.911,21.949,51.6,103.15,2.81,5.445736434,0.35,2.65,1.73,1.25,8.27,3.35,17.94,0.85,155.75,205.12,238.017,169.2,3.21,103.15,92,238.02,184.069,189.054,38.095,426,3.017,41.875,9.242,18.476,633.36,17.94,83.07,0.444,21.128
16,HFD,344.63,1765.193,0.058,0.506,8.79,47.39,44.93,45.436,21.292,23.638,52.9,92.36,2.7,5.103969754,0.32,2.49,2.64,1.6,12.4,4.99,31.59,0.82,125.22,177.02,216.199,160.75,1.837,92.36,131,216.2,171.301,155.334,54.041,408.4,1.641,44.179,10.004,15.844,535.08,31.59,79.638,0.655,18.855
17,HFD,327.86,1679.297,0.056,0.488,8.74,48.36,38.04,38.528,18.396,19.644,46.5,89.8,1.46,3.139784946,0.28,2.08,3.36,1.03,18.26,7.23,23.4,0.73,129.36,178.66,185.337,134.15,1.254,89.8,120.333,185.34,123.973,140.07,51.388,378,0.935,42.926,7.845,17.209,402.87,23.4,73.866,0.497,10.571
18,HFD,349.48,1790.035,0.057,0.539,9.45,47.01,43.55,44.089,20.473,23.077,51.8,103.94,2.77,5.347490347,0.31,2.53,1.85,1.83,9.04,3.57,12.09,0.85,72.66,153.54,215.781,178.4,2.592,103.94,62,215.78,162.111,118.221,41.923,375.2,2.569,40.312,10.613,16.429,563.94,12.09,73.164,0.61,12.115
19,HFD,365.8,1873.626,0.053,0.442,8.32,44.96,39.78,40.222,17.885,21.895,47.3,81.23,2.26,4.778012685,0.3,1.91,2.03,1.24,11.35,4.29,12.87,0.85,135.54,181.04,203.97,146.87,2.223,81.23,66.667,203.97,167.999,175.518,44.998,400,1.814,37.884,6.598,21.206,627.51,12.87,156,0.517,18.259
20,HFD,355.8,1822.406,0.056,0.547,9.71,46.32,42.53,43.077,19.7,22.83,50.7,93.51,2.69,5.305719921,0.39,2.96,1.61,1.43,8.17,3.18,11.31,0.85,118.53,163.79,211.135,159.72,1.045,93.51,58.333,211.14,154.241,145.344,38.427,491.6,0.927,37.683,7.982,21.304,615.81,11.31,95.862,0.412,19.598
21,HFD,345.3,1768.625,0.06,0.519,8.7,47.22,44.81,45.329,21.159,23.651,52.3,101.15,3.22,6.156787763,0.35,2.43,1.61,1.32,7.61,3.08,12.09,0.79,119.48,191.15,234.765,144.22,1.443,101.15,62,234.77,195.956,169.188,38.367,272.8,1.156,39.701,7.755,19.354,900.12,12.09,53.196,0.667,13.914
22,HFD,334.7,1714.332,0.056,0.604,10.85,48.89,42.76,43.364,20.905,21.855,50,95.31,3.03,6.06,0.37,2,1.8,1.72,8.61,3.6,26.13,0.8,118.75,185.28,223.355,174.57,2.319,95.31,98.5,223.36,141.143,155.439,54.131,359.2,2.249,39.189,8.685,29.689,892.71,26.13,70.044,0.477,13.468
23,HFD,344.2,1762.991,0.054,0.501,9.26,51.01,40.35,40.851,20.583,19.767,48.7,101.24,1.8,3.696098563,0.26,1.63,3.36,1.26,16.32,6.9,37.05,1,116.28,181.11,203.588,188.68,1.07,101.24,189.667,203.59,137.346,149.862,58.291,245.2,1.122,43.943,8.969,19.646,621.27,37.05,47.814,0.537,7.739
24,HFD,347.2,1778.357,0.062,0.541,8.72,47.72,42.56,43.101,20.31,22.25,50.2,96.86,2.56,5.099601594,0.34,1.78,2.15,1.53,10.59,4.28,36.66,0.79,123.18,167.88,232.25,157.39,3.853,96.86,188,232.25,141.033,171.3,42.647,302.4,3.369,43.601,9.599,14.381,1052.22,36.66,58.968,0.444,21.012
