Time,Diet,Cycle,MouseID,EE,EE_30,VO2,VCO2,RQ,VH2O,updateN,uptakeSum,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
Cycle2:08:00-09:00,HFD,light,15,0.5389633,0.2396206,0.8587257,0.6915705,0.8030694,0.04811472,0,0,0.4256897,0.02000427,0.000719452,0.8328706,99.16713,99.16713,0.9919444
Cycle2:09:00-10:00,HFD,light,15,0.6570092,0.2802765,1.054809,0.8451594,0.8005613,0.05875383,0,0,6.676666,3.983154,0.007175237,23.38889,76.58333,73.36111,0.7333333
Cycle2:10:00-11:00,HFD,light,15,0.5448386,0.236986,0.8393872,0.6517959,0.7749972,0.05376261,0,0,0.5379333,0.1179657,0.001169477,3.387948,96.61205,96.61205,0.9661111
Cycle2:11:00-12:00,HFD,light,15,0.5549746,0.2370912,0.8603442,0.6652116,0.7699966,0.03406003,0,0,0.5357666,0.05897522,0.000933365,2.054985,97.94502,97.05637,0.9705555
Cycle2:12:00-13:00,HFD,light,15,0.6091812,0.271402,0.973517,0.7734135,0.7913014,0.05911192,0,0,2.032562,0.8787994,0.007688699,7.245974,92.75402,91.11605,0.9113889
Cycle2:13:00-14:00,HFD,light,15,0.5735663,0.2746673,0.8939711,0.6969907,0.7746654,0.04825918,0,0,0.5933228,0,.,0,100,100,0.9997222
Cycle2:14:00-15:00,HFD,light,15,0.5866535,0.2549848,0.9330184,0.723753,0.7731997,0.0500561,1,0.05976009,1.750122,0.4840546,0.006214672,3.997779,92.28207,91.83787,0.9186111
Cycle2:15:00-16:00,HFD,light,15,0.5496345,0.2541487,0.8612422,0.6700584,0.7754708,0.04042671,1,0.1889262,0.7457275,0.3740692,0.006632487,2.472222,94.5,94.36111,0.9433333
Cycle2:16:00-17:00,HFD,light,15,0.67379,0.2653749,0.992806,0.8128628,0.8136163,0.04135044,1,0.09904194,5.229492,3.198578,0.007694333,19.1058,79.20022,76.31214,0.7631944
Cycle2:17:00-18:00,HFD,light,15,0.680347,0.2778451,1.07316,0.8410074,0.7816328,0.045292,1,0.08731842,5.928314,3.455307,0.008788217,22.18828,74.89586,65.45404,0.6547222
Cycle2:18:00-19:00,HFD,dark,15,0.7273675,0.3244127,1.119998,0.892509,0.79697,0.05454596,1,0.08854389,8.062683,5.213516,0.01384785,19.29484,76.31871,74.9306,0.7497222
Cycle2:19:00-20:00,HFD,dark,15,0.6952254,0.3010006,1.128188,0.8599772,0.7587681,0.06345654,0,0.01982689,10.1199,6.639313,0.01259717,29.13889,67.02778,61.5,0.615
Cycle2:20:00-21:00,HFD,dark,15,0.6870024,0.2887077,1.115686,0.8396813,0.7505075,0.08802904,1,0.1321964,11.87906,8.595428,0.0124439,31.84342,60.74403,56.49639,0.5651389
Cycle2:21:00-22:00,HFD,dark,15,0.6608222,0.2843829,1.05977,0.8029482,0.7553485,0.07430058,1,0.1605682,8.80307,5.754883,0.009382471,26.80556,67.77779,64.69445,0.6466666
Cycle2:22:00-23:00,HFD,dark,15,0.607981,0.2641598,0.937942,0.6903988,0.7353789,0.07105155,0,0,0.5228577,0.009994507,0.000723362,0.444321,99.55568,99.55568,0.9955556
Cycle2:23:00-00:00,HFD,dark,15,0.6243808,0.2850715,1.039967,0.7540038,0.722788,0.08545615,1,0.0259552,4.566559,2.777664,0.006796437,15.66232,83.92113,81.83838,0.8183333
Cycle2:00:00-01:00,HFD,dark,15,0.6163324,0.2838036,0.9764514,0.7412491,0.7548798,0.07806742,1,0.2320323,1.956421,1.016998,0.008784222,10.16102,82.5097,78.95613,0.7897222
Cycle2:01:00-02:00,HFD,dark,15,0.6258193,0.2729391,0.9918065,0.7498333,0.7520835,0.06421547,0,0,1.564453,0.3507996,0.004188136,5.305555,94.69444,92.83333,0.9280556
Cycle2:02:00-03:00,HFD,dark,15,0.6506708,0.2987221,1.023539,0.7827256,0.7619001,0.06250312,1,0.1383605,2.449402,1.564178,0.01087291,8.60633,87.64575,86.72959,0.8675
