Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER
Cycle1:20:00-21:00,LFD,dark,2,0.5421909,1.83132,1.64492,0.1698348,0.8975406
Cycle1:21:00-22:00,LFD,dark,2,0.4768354,1.611283,1.444115,0.1449292,0.8877375
Cycle1:22:00-23:00,LFD,dark,2,0.5068833,1.713912,1.531219,0.1513019,0.8899507
Cycle1:23:00-00:00,LFD,dark,2,0.5262147,1.799155,1.518783,0.1883659,0.8429758
Cycle1:00:00-01:00,LFD,dark,2,0.4066004,1.408242,1.109216,0.1229065,0.7833641
Cycle1:01:00-02:00,LFD,dark,2,0.4421706,1.50534,1.299246,0.1193854,0.8561041
Cycle1:02:00-03:00,LFD,dark,2,0.4397755,1.513504,1.234063,0.09903239,0.8052512
Cycle1:03:00-04:00,LFD,dark,2,0.5525102,1.873611,1.649729,0.1536493,0.8814162
Cycle1:04:00-05:00,LFD,dark,2,0.4896087,1.667938,1.43472,0.1117496,0.8584056
Cycle1:05:00-06:00,LFD,dark,2,0.5424553,1.835233,1.634964,0.1515691,0.8909533
Cycle2:06:00-07:00,LFD,light,2,0.408338,1.374006,1.257393,0.1365717,0.9110761
Cycle2:07:00-08:00,LFD,light,2,0.3817982,1.303479,1.108765,0.09389933,0.8462195
Cycle2:08:00-09:00,LFD,light,2,0.3677694,1.253377,1.075886,0.09795023,0.8569289
Cycle2:09:00-10:00,LFD,light,2,0.3571931,1.224253,1.020287,0.07932196,0.8303823
Cycle2:10:00-11:00,LFD,light,2,0.4102196,1.398705,1.197735,0.09219247,0.8543976
Cycle2:11:00-12:00,LFD,light,2,0.335143,1.1548,0.935488,0.0540986,0.8106192
Cycle2:12:00-13:00,LFD,light,2,0.4140197,1.414739,1.197869,0.07337524,0.8421402
Cycle2:13:00-14:00,LFD,light,2,0.330682,1.139412,0.9230949,0.04774365,0.8118858
Cycle2:14:00-15:00,LFD,light,2,0.3841588,1.319662,1.086671,0.0523862,0.8221925
Cycle2:15:00-16:00,LFD,light,2,0.3348047,1.164994,0.8940653,0.0704079,0.7678629
Cycle2:16:00-17:00,LFD,light,2,0.4273243,1.447474,1.281716,0.09896977,0.886515
Cycle2:17:00-18:00,LFD,light,2,0.395434,1.340301,1.183039,0.07127069,0.8764042
Cycle2:18:00-19:00,LFD,dark,2,0.4642372,1.544422,1.492513,0.07039373,0.9605142
Cycle2:19:00-20:00,LFD,dark,2,0.5994739,1.996629,1.919091,0.1384761,0.959962
Cycle2:20:00-21:00,LFD,dark,2,0.4834372,1.614809,1.531036,0.152146,0.9455627
Cycle2:21:00-22:00,LFD,dark,2,0.5480227,1.835571,1.717654,0.1846152,0.9336677
Cycle2:22:00-23:00,LFD,dark,2,0.4616828,1.571141,1.358814,0.1531235,0.8616827
Cycle2:23:00-00:00,LFD,dark,2,0.5836798,1.965526,1.791915,0.1845903,0.9124138
Cycle2:00:00-01:00,LFD,dark,2,0.5166316,1.737725,1.593267,0.1974354,0.9142716
Cycle2:01:00-02:00,LFD,dark,2,0.4731386,1.601809,1.422166,0.1695821,0.8864825
Cycle2:02:00-03:00,LFD,dark,2,0.4791498,1.628086,1.419118,0.1791535,0.8661996
Cycle2:03:00-04:00,LFD,dark,2,0.4575368,1.541357,1.402462,0.1527036,0.9074424
Cycle2:04:00-05:00,LFD,dark,2,0.4847412,1.630657,1.494214,0.1616775,0.9105472
Cycle2:05:00-06:00,LFD,dark,2,0.5160585,1.733787,1.598663,0.1514625,0.9194565
Cycle1:06:00-07:00,LFD,light,3,0.5541348,1.906263,1.557864,0.1601422,0.8118327
Cycle1:07:00-08:00,LFD,light,3,0.4696676,1.638268,1.239946,0.1048124,0.754256
Cycle1:08:00-09:00,LFD,light,3,0.4245684,1.487504,1.097547,0.1041309,0.7385018
Cycle1:09:00-10:00,LFD,light,3,0.5094866,1.774328,1.355169,0.09699934,0.7625054
Cycle1:10:00-11:00,LFD,light,3,0.4334089,1.514863,1.133279,0.0885554,0.748482
Cycle1:11:00-12:00,LFD,light,3,0.4951507,1.723062,1.321813,0.08514132,0.7617956
Cycle1:12:00-13:00,LFD,light,3,0.4202379,1.466833,1.105947,0.07292686,0.7539986
Cycle1:13:00-14:00,LFD,light,3,0.5662937,1.950396,1.583833,0.06371381,0.8033212
Cycle1:14:00-15:00,LFD,light,3,0.4564891,1.586765,1.224875,0.08759769,0.7691565
Cycle1:15:00-16:00,LFD,light,3,0.5006615,1.720272,1.414796,0.02851467,0.8185109
Cycle1:16:00-17:00,LFD,light,3,0.4500937,1.578877,1.156607,0.110465,0.7326466
Cycle1:17:00-18:00,LFD,light,3,0.5262403,1.816397,1.457732,0.08841103,0.7970958
Cycle1:18:00-19:00,LFD,dark,3,0.6376126,2.170006,1.876024,0.09846457,0.8502257
Cycle1:19:00-20:00,LFD,dark,3,0.7069516,2.355145,2.261211,0.1221055,0.9591968
Cycle1:20:00-21:00,LFD,dark,3,0.614995,2.056739,1.938795,0.1461972,0.9404378
Cycle1:21:00-22:00,LFD,dark,3,0.6282733,2.11162,1.943334,0.1452282,0.9158986
